date,gross_equity,net_equity
2020-03-18 00:00:00+00:00,100106.93094741792,99656.9800277703
2020-03-19 00:00:00+00:00,100109.77153042832,99659.80784320382
2020-03-20 00:00:00+00:00,100070.94679008186,99621.15760853303
2020-03-21 00:00:00+00:00,100067.54692804872,99617.77302786984
2020-03-22 00:00:00+00:00,100075.70459395758,99625.89402749353
2020-03-23 00:00:00+00:00,100106.32032541207,99656.37215032897
2020-03-24 00:00:00+00:00,100096.9371909597,99647.03119027888
2020-03-25 00:00:00+00:00,100081.73860010448,99631.9009125751
2020-03-26 00:00:00+00:00,100072.6863543832,99622.88935400955
2020-03-27 00:00:00+00:00,100092.03094969914,99642.14700111552
2020-03-28 00:00:00+00:00,100099.62031252266,99649.70225200742
2020-03-29 00:00:00+00:00,100090.0069433158,99640.13209203967
2020-03-30 00:00:00+00:00,100101.29361893875,99651.3680374082
2020-03-31 00:00:00+00:00,100104.24073871404,99654.3019107555
2020-04-01 00:00:00+00:00,100124.65220741826,99674.62163597075
2020-04-02 00:00:00+00:00,100111.58645689393,99661.61461211408
2020-04-03 00:00:00+00:00,100106.02270085693,99656.07586350787
2020-04-04 00:00:00+00:00,100099.16758457402,99649.25155893645
2020-04-05 00:00:00+00:00,100070.84376578055,99621.05504729536
2020-04-06 00:00:00+00:00,100077.77927645291,99627.95938490733
2020-04-07 00:00:00+00:00,100084.01215936344,99634.16425286054
2020-04-08 00:00:00+00:00,100085.11651525376,99635.26364499916
2020-04-09 00:00:00+00:00,100081.41778357483,99631.58153802047
2020-04-10 00:00:00+00:00,100108.77689536553,99359.92293411616
2020-04-11 00:00:00+00:00,100116.20789723625,99367.2983491007
2020-04-12 00:00:00+00:00,100122.07734959858,99373.12389559593
2020-04-13 00:00:00+00:00,100137.16363025931,99388.09732480264
2020-04-14 00:00:00+00:00,100139.3960431879,99390.31303838361
2020-04-15 00:00:00+00:00,100130.28728894089,99381.27242128614
2020-04-16 00:00:00+00:00,100091.45235852199,99342.72799178417
2020-04-17 00:00:00+00:00,100086.95139545969,99338.26069773793
2020-04-18 00:00:00+00:00,100080.7880597356,99332.1434662468
2020-04-19 00:00:00+00:00,100081.2778976138,99332.62963994042
2020-04-20 00:00:00+00:00,100118.72398457589,99369.79561509388
2020-04-21 00:00:00+00:00,100118.25302172295,99369.32817523273
2020-04-22 00:00:00+00:00,100116.04261678235,99367.13430501115
2020-04-23 00:00:00+00:00,100065.64774325053,99317.11640542549
2020-04-24 00:00:00+00:00,100068.49945573538,99319.94678595266
2020-04-25 00:00:00+00:00,100061.45701198457,99312.95702251683
2020-04-26 00:00:00+00:00,100061.1507905012,99312.65309169347
2020-04-27 00:00:00+00:00,100038.74393602743,98992.47589023848
2020-04-28 00:00:00+00:00,100062.63589271114,99016.11796982613
2020-04-29 00:00:00+00:00,100078.6984202274,99032.01250533636
2020-04-30 00:00:00+00:00,100095.54408967965,99048.68199219208
2020-05-01 00:00:00+00:00,100078.33076378192,99031.648694073
2020-05-02 00:00:00+00:00,100107.42988757872,99060.443480948
2020-05-03 00:00:00+00:00,100080.35263298397,99033.64941729642
2020-05-04 00:00:00+00:00,100093.10872878767,99046.27210183462
2020-05-05 00:00:00+00:00,100137.98452099443,99090.6785548077
2020-05-06 00:00:00+00:00,100119.14580256445,99072.03686353283
2020-05-07 00:00:00+00:00,100108.80448209216,99061.80369908825
2020-05-08 00:00:00+00:00,100111.80196326776,99064.76983072217
2020-05-09 00:00:00+00:00,100102.71895399479,99055.78181726768
2020-05-10 00:00:00+00:00,100072.66102313064,99026.03825113212
2020-05-11 00:00:00+00:00,100075.03581125833,99028.38820223333
2020-05-12 00:00:00+00:00,100054.75960913948,99008.32406137727
2020-05-13 00:00:00+00:00,100065.24704073487,99018.70180882301
2020-05-14 00:00:00+00:00,100047.8326805371,99001.46957894693
2020-05-15 00:00:00+00:00,100079.87898534977,99033.18072336682
2020-05-16 00:00:00+00:00,100065.19209666397,99018.64743939175
2020-05-17 00:00:00+00:00,100059.74276933605,99013.25510455322
2020-05-18 00:00:00+00:00,100077.03881339387,99030.37025571392
2020-05-19 00:00:00+00:00,100053.38638257659,99006.9651968807
2020-05-20 00:00:00+00:00,100047.8289262148,98704.44496829904
2020-05-21 00:00:00+00:00,100020.64869991485,98677.62970224238
2020-05-22 00:00:00+00:00,100051.82430882986,98708.3867032441
2020-05-23 00:00:00+00:00,100047.12479449176,98703.75029124656
2020-05-24 00:00:00+00:00,100040.91869174423,98697.62752043098
2020-05-25 00:00:00+00:00,100024.26162693666,98681.19411698505
2020-05-26 00:00:00+00:00,100048.02213268893,98704.6355805092
2020-05-27 00:00:00+00:00,100073.46635403339,98729.7381516735
2020-05-28 00:00:00+00:00,100062.0058983472,98718.43158030929
2020-05-29 00:00:00+00:00,100055.05467813474,98711.57369703198
2020-05-30 00:00:00+00:00,100049.03567515506,98705.6355137176
2020-05-31 00:00:00+00:00,100041.09559979837,98697.80205306681
2020-06-01 00:00:00+00:00,100053.71174915374,98710.24880011893
2020-06-02 00:00:00+00:00,100048.05823599399,98704.6711990401
2020-06-03 00:00:00+00:00,100041.18730539123,98697.89252729039
2020-06-04 00:00:00+00:00,100054.49086633604,98711.01745576963
2020-06-05 00:00:00+00:00,100016.11749700124,98673.15934168153
2020-06-06 00:00:00+00:00,100005.63305778442,98662.8156814062
2020-06-07 00:00:00+00:00,100028.47129152903,98685.34725665387
2020-06-08 00:00:00+00:00,100042.61635314421,98403.24634485279
2020-06-09 00:00:00+00:00,100024.10441146,98385.0377531118
2020-06-10 00:00:00+00:00,100040.86267743213,98401.52140612771
2020-06-11 00:00:00+00:00,100065.05851865919,98425.32075696018
2020-06-12 00:00:00+00:00,100049.62961313014,98410.14468053443
2020-06-13 00:00:00+00:00,100069.91720010494,98430.09982056973
2020-06-14 00:00:00+00:00,100079.18198149712,98439.2127826143
2020-06-15 00:00:00+00:00,100096.64045109454,98456.38516521707
2020-06-16 00:00:00+00:00,100135.61485636991,98494.7209079561
2020-06-17 00:00:00+00:00,100131.70322545333,98490.87337582705
2020-06-18 00:00:00+00:00,100117.61456850781,98477.01558571104
2020-06-19 00:00:00+00:00,100100.80765790855,98460.48408519372
2020-06-20 00:00:00+00:00,100085.47628951128,98445.40394758641
2020-06-21 00:00:00+00:00,100084.93371872138,98444.87026775033
2020-06-22 00:00:00+00:00,100092.76450285024,98452.57273103844
2020-06-23 00:00:00+00:00,100099.30478716722,98459.00584156941
2020-06-24 00:00:00+00:00,100116.86581998032,98476.27910671351
2020-06-25 00:00:00+00:00,100118.1271052269,98477.51972363613
2020-06-26 00:00:00+00:00,100148.22755606608,98507.12692691601
2020-06-27 00:00:00+00:00,100143.9301692929,98502.8999602023
2020-06-28 00:00:00+00:00,100199.38840072375,98557.4494133081
2020-06-29 00:00:00+00:00,100212.91512558755,98570.75447956419
2020-06-30 00:00:00+00:00,100196.75599310394,98554.8601422061
2020-07-01 00:00:00+00:00,100176.31792993209,98534.75699178457
2020-07-02 00:00:00+00:00,100186.97792095042,98545.24230055045
2020-07-03 00:00:00+00:00,100183.50523075905,98541.82651634929
2020-07-04 00:00:00+00:00,100198.80036750581,98556.8710160239
2020-07-05 00:00:00+00:00,100209.27547986606,98567.1744756859
2020-07-06 00:00:00+00:00,100208.81844961076,98566.7249346559
2020-07-07 00:00:00+00:00,100192.86679909343,98551.0346793159
